Ticker,Name,SECTOR,22년 1분기_PBR,22년 2분기_PBR,22년 3분기_PBR,22년 4분기_PBR,23년 1분기_PBR,23년 2분기_PBR,23년 3분기_PBR,23년 4분기_PBR,24년 1분기_PBR,24년 2분기_PBR,24년 3분기_PBR,24년 4분기_PBR,25년 1분기_PBR,22년 1분기_PER,22년 2분기_PER,22년 3분기_PER,22년 4분기_PER,23년 1분기_PER,23년 2분기_PER,23년 3분기_PER,23년 4분기_PER,24년 1분기_PER,24년 2분기_PER,24년 3분기_PER,24년 4분기_PER,25년 1분기_PER
37460,삼지전자,전기·전자,0.84,0.66,0.56,0.49,0.5,0.45,0.39,0.4,0.42,0.39,0.38,0.38,0.41,6.51,5.83,4.95,4.26,4.36,2.87,2.53,2.57,2.68,4.33,4.23,4.18,4.47
37560,LG헬로비전,오락·문화,0.63,0.72,0.62,0.57,0.53,0.53,0.51,0.43,0.46,0.44,0.38,0.35,0.33,,17.4,15.07,13.72,12.77,,,,,,,,
37710,광주신세계,유통,0.08,0.39,0.35,0.34,0.36,0.33,0.32,0.31,0.31,0.3,0.29,0.28,0.29,1.33,5.48,4.99,4.9,5.19,4.65,4.46,4.27,4.26,5.06,4.87,4.82,4.85
37760,쎄니트,금속,0.92,0.82,0.7,0.66,0.64,0.58,0.55,0.53,0.49,0.52,0.52,0.52,0.49,7.67,7.7,6.59,6.22,6.0,6.1,5.77,5.58,5.21,16.85,16.82,16.77,15.87
37950,엘컴텍,전기·전자,1.98,1.83,1.46,1.18,1.76,2.03,1.57,1.58,1.53,1.56,1.42,1.27,1.19,,29.02,23.19,18.74,27.95,18.82,14.58,14.7,14.19,46.18,42.17,37.72,35.27
38010,제일테크노스,금속,0.77,0.77,0.88,0.85,0.85,0.87,0.89,0.79,0.77,0.54,0.53,0.47,0.46,,74.71,84.62,82.08,82.49,6.75,6.93,6.16,5.95,2.38,2.33,2.07,2.02
38060,루멘스,전기·전자,0.59,0.84,0.71,0.69,0.77,0.76,0.72,0.67,0.6,0.57,0.53,0.56,0.48,,,,,,4.48,4.24,3.93,3.52,13.84,12.94,13.65,11.81
38070,서린바이오,유통,2.32,1.49,1.51,1.31,1.28,1.17,0.99,0.85,0.96,0.88,0.83,0.74,0.74,27.3,7.15,7.24,6.28,6.13,10.24,8.67,7.5,8.45,,,,
38110,에코플라스틱,운송장비·부품,0.69,0.75,0.78,0.79,0.84,1.34,1.21,1.04,1.09,0.82,0.64,0.49,0.47,,17.01,17.74,17.91,19.09,8.82,7.95,6.85,7.19,3.45,2.7,2.05,1.99
38290,마크로젠,일반서비스,1.47,1.35,1.2,0.99,1.0,1.16,1.16,1.06,1.24,1.28,1.19,1.06,1.01,3.03,239.86,214.13,175.64,177.87,,,,,,,,
38340,MIT,,0.58,1.08,1.08,0.71,1.06,4.71,4.99,4.99,4.99,2.35,2.35,2.35,2.11,,,,,,,,,,,,,
38390,레드캡투어,일반서비스,0.57,0.5,0.45,0.44,0.43,0.37,0.33,0.32,0.33,0.32,0.32,0.69,0.86,8.16,7.26,6.6,6.48,6.34,3.39,3.03,2.91,3.01,3.94,3.94,8.42,10.48
38460,바이오스마트,전기·전자,1.15,0.89,0.8,0.66,0.69,0.67,0.69,0.69,0.67,0.91,0.75,0.62,0.57,,62.83,56.46,46.46,49.05,88.85,91.06,91.37,88.2,5.45,4.47,3.69,3.4
38500,삼표시멘트,비금속,0.84,0.77,0.66,0.6,0.56,0.56,0.52,0.5,0.48,0.45,0.48,0.47,0.47,39.1,24.91,21.14,19.16,18.05,12.8,11.94,11.36,10.87,9.49,9.97,9.79,9.75
38530,케이바이오,유통,1.89,1.61,1.26,0.93,0.72,0.71,0.49,0.38,0.36,0.5,0.51,0.46,0.46,,,,,,,,,,,,,
38540,상상인,IT 서비스,0.86,0.81,0.67,0.51,0.45,0.39,0.34,0.33,0.28,0.27,0.2,0.13,0.13,8.07,5.6,4.65,3.51,3.09,5.87,5.14,4.93,4.18,,,,
38620,위즈코프,유통,2.54,1.18,0.89,0.69,0.69,0.7,0.71,0.64,0.64,0.61,0.51,0.5,0.61,36.78,,,,,19.27,19.57,17.86,17.64,33.95,28.43,28.02,34.1
38680,에스넷,IT 서비스,1.61,1.62,1.3,1.12,1.31,1.19,1.14,1.04,1.19,0.99,0.78,0.73,0.81,29.6,,,,,,,,,4.51,3.55,3.32,3.68
38870,에코바이오,일반서비스,1.16,1.18,1.03,0.85,0.78,1.03,0.98,1.01,1.0,0.88,0.7,0.58,0.62,14.29,15.13,13.28,10.94,10.02,,,,,28.44,22.82,18.97,20.09
38880,아이에이,전기·전자,3.31,2.74,2.25,2.01,1.91,1.87,1.62,1.28,1.33,1.3,0.87,0.71,0.96,22.59,118.52,97.49,87.03,82.53,,,,,,,,
38950,파인디지털,전기·전자,0.81,0.57,0.49,0.43,0.49,0.49,0.46,0.46,0.44,0.38,0.36,0.31,0.29,9.45,20.37,17.55,15.39,17.71,,,,,16.14,15.42,13.22,12.45
