Ticker,Name,SECTOR,22년 1분기_PBR,22년 2분기_PBR,22년 3분기_PBR,22년 4분기_PBR,23년 1분기_PBR,23년 2분기_PBR,23년 3분기_PBR,23년 4분기_PBR,24년 1분기_PBR,24년 2분기_PBR,24년 3분기_PBR,24년 4분기_PBR,25년 1분기_PBR,22년 1분기_PER,22년 2분기_PER,22년 3분기_PER,22년 4분기_PER,23년 1분기_PER,23년 2분기_PER,23년 3분기_PER,23년 4분기_PER,24년 1분기_PER,24년 2분기_PER,24년 3분기_PER,24년 4분기_PER,25년 1분기_PER
20,동화약품,제약,1.11,0.94,0.8,0.73,0.72,0.71,0.76,0.74,0.75,0.63,0.6,0.52,0.46,12.69,18.19,15.52,14.17,13.99,12.73,13.6,13.19,13.37,8.59,8.12,7.05,6.29
40,KR모터스,운송장비·부품,6.01,5.9,5.04,4.35,3.91,5.38,4.76,4.41,1.19,1.47,0.97,0.8,0.68,,,,,,,,,,,,,
50,경방,유통,0.54,0.5,0.42,0.37,0.36,0.34,0.3,0.28,0.29,0.26,0.23,0.21,0.22,29.15,17.08,14.38,12.68,12.37,58.89,52.21,47.6,49.47,,,,
70,삼양홀딩스,기타금융,0.51,0.36,0.31,0.29,0.32,0.32,0.3,0.3,0.3,0.27,0.28,0.27,0.24,6.61,2.66,2.29,2.16,2.39,8.15,7.68,7.55,7.65,3.11,3.21,3.16,2.8
80,하이트진로,음식료·담배,2.25,2.27,1.9,1.67,1.55,1.35,1.2,1.32,1.27,1.32,1.32,1.31,1.23,27.22,34.42,28.84,25.38,23.56,18.02,16.02,17.52,16.84,40.31,40.34,40.17,37.61
100,유한양행,제약,2.17,1.89,1.84,1.96,1.86,1.99,2.4,2.33,2.51,2.68,3.91,4.74,4.59,19.04,35.67,34.74,37.09,35.19,41.68,50.36,48.77,52.57,40.6,59.27,71.8,69.53
120,CJ대한통운,운송·창고,0.86,0.69,0.64,0.49,0.48,0.45,0.43,0.53,0.72,0.62,0.53,0.47,0.49,22.23,66.65,62.44,47.61,46.32,9.75,9.5,11.57,15.74,10.76,9.23,8.2,8.5
140,하이트진로홀딩스,기타금융,0.62,0.57,0.49,0.44,0.41,0.37,0.35,0.34,0.35,0.37,0.38,0.39,0.36,4.28,8.7,7.47,6.7,6.38,6.65,6.2,6.16,6.24,221.49,223.69,230.03,214.76
150,두산,기타금융,1.38,0.69,0.62,0.71,0.76,0.96,1.05,0.85,1.03,1.93,1.88,2.36,3.43,,7.1,6.35,7.25,7.82,,,,,,,,
180,성창기업지주,일반서비스,0.32,0.3,0.25,0.23,0.26,0.22,0.21,0.2,0.21,0.21,0.19,0.15,0.15,31.1,26.54,22.34,20.85,22.69,,,,,,,,
210,DL,화학,0.9,0.37,0.38,0.36,0.33,0.27,0.22,0.26,0.28,0.32,0.29,0.22,0.2,4.61,1.52,1.58,1.5,1.37,17.94,14.67,17.17,19.06,,,,
220,유유제약,제약,1.21,1.11,1.0,0.96,0.94,0.93,0.79,0.81,0.84,0.81,0.81,0.73,0.77,91.92,,,,,,,,,,,,
230,일동홀딩스,제약,1.27,7.19,5.91,5.86,3.26,11.13,10.74,9.95,9.13,2.43,2.38,2.14,1.9,,,,,,,,,,,,,
240,한국앤컴퍼니,기타금융,0.38,0.35,0.33,0.33,0.33,0.3,0.28,0.36,0.41,0.36,0.38,0.4,0.39,7.48,6.63,6.14,6.22,6.26,7.08,6.5,8.32,9.46,7.81,8.26,8.66,8.28
250,삼천당제약,제약,4.47,5.06,4.34,4.72,6.68,8.77,8.99,8.85,9.99,12.17,16.83,12.76,18.51,,,,,,260.64,266.97,262.91,296.93,,,,
270,기아,운송장비·부품,1.05,0.93,0.91,0.76,0.83,0.87,0.83,0.86,1.11,1.0,0.93,0.82,0.84,20.82,6.79,6.69,5.58,6.09,6.31,6.06,6.25,8.06,5.32,4.92,4.35,4.43
300,DH오토넥스,운송장비·부품,13.17,10.78,9.04,8.12,7.79,15.88,14.42,7.15,,,,3.56,4.4,,,,,,,,,,,,,
320,노루홀딩스,기타금융,0.44,0.33,0.34,0.3,0.28,0.27,0.3,0.31,0.31,0.31,0.33,0.33,0.34,9.01,76.77,77.58,68.64,65.75,4.26,4.71,4.84,4.92,5.01,5.38,5.44,5.58
370,한화손해보험,보험,0.29,0.38,0.38,0.33,0.37,3.98,3.8,3.88,4.3,0.23,0.26,0.22,0.2,13.11,4.9,4.89,4.22,4.77,2.31,2.2,2.25,2.49,3.26,3.7,3.12,2.79
390,삼화페인트,화학,0.84,0.71,0.58,0.49,0.47,0.51,0.49,0.5,0.54,0.62,0.56,0.52,0.48,31.01,,,,,27.24,26.26,26.74,28.82,11.76,10.61,9.92,9.17
400,롯데손해보험,보험,0.55,0.58,0.5,0.46,0.47,1.14,1.28,1.67,1.89,0.84,0.66,0.53,0.46,,4.97,4.29,3.91,3.99,,,,,3.54,2.8,2.22,1.95
430,대원강업,운송장비·부품,0.44,0.44,0.41,0.42,0.44,0.54,0.81,0.67,0.7,0.66,0.57,0.47,0.46,,,,,,13.74,20.75,17.1,18.05,10.95,9.47,7.89,7.66
440,중앙에너비스,유통,2.64,2.25,1.67,1.71,1.48,1.44,1.38,1.46,1.37,1.66,1.64,1.53,1.17,6.29,530.87,394.93,403.66,349.31,169.58,162.5,171.22,161.12,,,,
480,CR홀딩스,비금속,0.05,0.04,0.04,0.04,0.04,0.49,0.6,0.31,0.29,0.42,0.41,0.4,0.38,0.76,1.04,0.99,0.99,1.04,8.3,10.13,5.23,4.84,432.11,418.39,409.5,389.57
490,대동,기계·장비,0.93,0.85,0.69,0.66,0.72,0.77,0.85,0.95,0.98,0.61,0.5,0.49,0.61,12.52,8.92,7.19,6.96,7.52,6.35,6.98,7.8,8.06,14.63,12.06,11.79,14.74
500,가온전선,전기·전자,0.31,0.32,0.31,0.28,0.28,0.35,0.41,0.4,0.52,1.03,0.87,0.91,1.2,8.17,14.52,14.15,12.61,12.8,6.99,8.34,7.97,10.48,16.51,13.88,14.59,19.18
520,삼일제약,제약,1.61,1.43,1.4,1.38,1.55,0.84,0.83,0.71,1.01,1.03,1.19,1.61,1.46,69.34,,,,,,,,,78.33,90.57,122.65,111.28
540,흥국화재,보험,0.34,0.36,0.31,0.29,0.33,0.29,0.27,0.28,0.37,0.19,0.19,0.16,0.16,14.21,4.36,3.81,3.5,3.98,1.52,1.41,1.42,1.93,0.87,0.87,0.72,0.71
590,CS홀딩스,기타금융,0.32,0.29,0.29,0.25,0.27,0.24,0.24,0.25,0.27,0.25,0.26,0.26,0.27,10.0,5.07,5.13,4.51,4.82,4.69,4.62,4.69,5.13,4.45,4.51,4.57,4.7
640,동아쏘시오홀딩스,기타금융,0.71,0.67,0.65,0.63,0.6,0.53,0.56,0.6,0.67,0.65,0.7,0.68,0.62,3.85,10.56,10.34,10.01,9.53,46.91,49.1,53.25,59.11,11.38,12.15,11.8,10.76
650,천일고속,운송·창고,2.4,2.62,2.55,2.41,2.31,2.87,2.71,2.6,2.59,3.45,3.29,2.86,2.86,,,,,,,,,,,,,
660,SK하이닉스,전기·전자,1.74,1.18,1.03,0.95,0.97,1.08,1.28,1.4,1.64,2.52,2.44,2.32,2.6,17.83,7.62,6.68,6.13,6.27,30.59,36.28,39.84,46.42,,,,
670,영풍,금속,0.04,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.01,0.02,0.02,0.83,0.88,0.8,0.92,0.82,0.25,0.25,0.23,0.23,,,,
680,LS네트웍스,유통,0.55,0.45,0.39,0.34,0.33,0.35,0.6,0.59,0.59,0.6,0.49,0.4,0.5,,4.18,3.6,3.13,3.02,,,,,31.27,25.67,21.19,26.42
700,유수홀딩스,일반서비스,0.48,0.46,0.47,0.54,0.52,0.48,0.42,0.43,0.43,0.41,0.39,0.38,0.39,1.76,6.04,6.26,7.08,6.85,5.41,4.79,4.89,4.8,13.42,12.79,12.43,12.94
720,현대건설,건설,0.77,0.66,0.66,0.59,0.57,0.58,0.53,0.52,0.49,0.46,0.44,0.39,0.44,41.86,11.71,11.76,10.47,10.18,10.83,9.98,9.8,9.28,7.02,6.65,5.86,6.67
760,이화산업,유통,0.46,0.33,0.3,0.3,0.31,0.41,0.31,0.28,0.27,0.3,0.28,0.23,0.22,,1.03,0.93,0.95,0.95,1250.12,956.29,848.42,833.52,,,,
810,삼성화재,보험,0.63,0.56,0.54,0.55,0.57,0.86,0.96,0.99,1.1,0.87,0.95,0.95,0.99,11.47,7.72,7.43,7.62,7.82,7.42,8.25,8.51,9.49,7.67,8.38,8.42,8.76
850,화천기공,기계·장비,0.24,0.25,0.24,0.23,0.24,0.25,0.23,0.21,0.21,0.2,0.19,0.17,0.18,15.94,8.18,7.78,7.48,7.87,2.27,2.09,1.91,1.91,6.38,6.1,5.61,5.8
860,강남제비스코,화학,0.15,0.13,0.12,0.12,0.12,0.13,0.12,0.11,0.12,0.14,0.14,0.14,0.13,3.5,1.74,1.62,1.52,1.51,12.86,11.54,10.7,11.25,5.21,5.16,5.03,4.9
880,한화,화학,0.66,0.55,0.53,0.51,0.51,0.53,0.51,0.45,0.51,0.24,0.26,0.25,0.34,10.69,2.94,2.85,2.76,2.74,2.04,1.95,1.72,1.93,6.84,7.49,7.19,9.69
890,보해양조,음식료·담배,1.43,1.42,1.19,1.05,1.04,1.02,0.93,0.9,0.89,0.85,0.8,0.79,0.81,63.03,,,,,,,,,,,,
910,유니온,비금속,0.89,0.82,0.7,0.62,0.63,0.98,0.77,0.68,0.72,0.65,0.55,0.57,0.68,7.45,12.19,10.42,9.25,9.44,,,,,11.51,9.78,10.18,12.02
950,전방,섬유·의류,0.48,0.41,0.48,0.45,0.34,0.18,0.14,0.13,0.12,0.12,0.12,0.11,0.11,7.71,367.28,436.83,403.43,308.26,0.57,0.43,0.39,0.39,,,,
970,한국주철관,금속,0.75,0.6,0.5,0.45,0.45,0.46,0.43,0.42,0.41,0.4,0.4,0.39,0.38,17.8,3.11,2.59,2.3,2.31,13.04,12.31,11.93,11.61,8.31,8.35,8.08,7.82
990,DB하이텍,전기·전자,4.13,2.61,1.72,1.68,1.85,1.71,1.47,1.46,1.29,1.05,1.08,0.85,0.97,19.3,9.11,5.99,5.86,6.46,5.01,4.31,4.29,3.78,7.0,7.18,5.65,6.48
1000,신라섬유,부동산,3.82,3.52,3.23,3.03,3.11,3.19,3.01,2.7,2.45,2.21,1.94,1.67,1.58,166.42,79.71,73.13,68.6,70.46,,,,,,,,
1020,페이퍼코리아,종이·목재,2.53,1.84,1.58,1.09,1.12,0.81,0.69,0.62,0.71,0.51,0.45,0.49,0.46,270.44,8.53,7.31,5.07,5.2,,,,,5.24,4.62,5.08,4.75
1040,CJ,기타금융,0.63,0.55,0.51,0.5,0.58,0.59,0.47,0.57,0.64,0.78,0.73,0.62,0.64,31.7,10.19,9.44,9.27,10.68,15.1,12.06,14.67,16.51,22.23,20.67,17.65,18.11
1060,JW중외제약,제약,2.52,2.87,2.44,2.11,2.32,2.27,3.83,3.12,3.48,2.76,2.77,2.36,2.14,,,,,,16.93,28.61,23.3,26.03,19.81,19.89,16.9,15.34
1070,대한방직,섬유·의류,1.93,1.27,1.31,1.33,1.36,1.33,0.3,0.23,0.2,0.18,0.16,0.15,0.15,66.41,112.93,116.58,118.16,121.21,,,,,,,,
1080,만호제강,금속,0.39,0.32,0.32,0.41,0.5,0.68,0.5,0.51,0.51,0.51,0.49,0.52,0.42,76.11,84.61,84.87,15.21,18.43,25.23,18.33,14.49,14.49,14.49,14.12,,
1120,LX인터내셔널,유통,0.82,0.76,0.74,0.83,0.65,0.5,0.53,0.45,0.43,0.46,0.48,0.46,0.42,3.58,3.83,3.75,4.18,3.29,2.19,2.33,1.97,1.9,8.89,9.35,8.86,8.07
1130,대한제분,음식료·담배,0.35,0.32,0.26,0.25,0.27,0.25,0.23,0.23,0.24,0.23,0.23,0.22,0.21,13.08,3.22,2.69,2.54,2.8,5.75,5.24,5.09,5.36,2.27,2.32,2.17,2.13
1140,국보,운송·창고,28.85,31.9,25.7,20.36,16.55,1.8,1.42,0.84,0.73,0.89,0.89,0.89,0.89,,,,,,,,,,,,,
1200,유진투자증권,증권,0.37,0.31,0.27,0.24,0.26,0.29,0.38,0.38,0.37,0.4,0.44,0.3,0.23,4.11,3.29,2.87,2.59,2.72,18.27,23.72,23.88,23.22,13.23,14.57,10.06,7.58
1210,금호전기,전기·전자,1.86,1.43,0.86,0.65,0.61,1.06,1.04,0.96,0.87,1.27,1.25,1.34,1.44,,,,,,,,,,,,,
1230,동국홀딩스,기타금융,0.66,0.51,0.39,0.37,0.39,0.33,0.38,0.26,0.24,0.16,0.15,0.15,0.14,19.95,2.45,1.88,1.78,1.88,2.52,2.95,2.01,1.88,1.85,1.8,1.71,1.65
1250,GS글로벌,유통,0.67,0.91,0.86,0.66,0.61,0.63,0.54,0.51,0.55,0.51,0.7,0.61,0.53,,12.89,12.13,9.33,8.68,3.58,3.05,2.9,3.13,7.73,10.65,9.26,7.99
1260,남광토건,건설,1.84,1.32,1.19,1.06,1.1,0.88,0.85,0.72,0.66,0.55,0.58,0.64,0.7,8.87,5.33,4.81,4.27,4.47,4.86,4.68,3.98,3.64,10.28,10.9,12.14,13.25
1270,부국증권,증권,0.57,0.33,0.3,0.26,0.26,0.26,0.28,0.28,0.31,0.29,0.31,0.32,0.32,3.51,2.79,2.53,2.24,2.24,4.34,4.6,4.56,5.16,3.79,4.15,4.28,4.23
1290,상상인증권,증권,0.65,0.55,0.49,0.41,0.38,0.37,0.35,0.36,0.36,0.3,0.25,0.2,0.19,43.42,11.86,10.51,8.85,8.18,22.2,20.95,21.9,21.93,134.2,109.55,89.34,84.73
1340,PKC,화학,1.39,1.41,1.19,1.2,1.28,1.73,1.92,1.92,1.92,2.22,2.01,1.8,1.47,23.59,18.02,15.21,15.25,16.31,16.72,18.53,18.51,18.51,61.31,55.45,49.86,40.78
1360,삼성제약,제약,1.98,1.83,1.64,1.35,1.29,1.78,1.72,1.44,1.48,1.58,1.57,1.54,1.48,,,,,,,,,,,,,
1380,SG글로벌,운송장비·부품,0.68,0.64,0.51,0.56,0.55,0.5,0.54,0.54,0.64,0.64,0.85,0.98,1.08,,,,,,,,,,4.49,5.95,6.82,7.51
1390,KG케미칼,화학,0.2,0.21,0.15,0.13,0.16,0.14,0.76,0.58,0.55,0.4,0.34,0.29,0.29,1.72,1.25,0.9,0.8,0.93,0.35,1.85,1.43,1.35,3.7,3.11,2.7,2.66
1420,태원물산,운송장비·부품,1.26,1.22,1.12,0.95,1.11,1.34,1.24,1.22,1.15,1.07,0.98,0.93,0.9,,472.18,434.52,369.23,430.79,,,,,,,,
1430,세아베스틸지주,금속,0.4,0.34,0.33,0.35,0.37,0.46,0.48,0.45,0.44,0.4,0.36,0.38,0.36,,3.33,3.22,3.47,3.67,9.33,9.74,9.27,9.04,6.14,5.48,5.85,5.43
1440,대한전선,전기·전자,38.06,40.35,35.71,33.42,31.4,1.95,1.7,1.5,1.49,2.2,1.91,1.71,1.85,4680.87,536.82,475.1,444.64,417.73,75.79,65.99,58.14,57.84,29.1,25.26,22.64,24.47
1450,현대해상,보험,0.52,0.49,0.5,0.48,0.5,0.63,0.56,0.58,0.6,0.41,0.45,0.37,0.31,7.02,5.97,6.04,5.8,6.09,4.77,4.27,4.41,4.55,4.18,4.52,3.74,3.16
1460,BYC,섬유·의류,0.09,0.08,0.07,0.06,0.07,0.07,0.07,0.06,0.07,0.62,0.52,0.48,0.44,2.13,1.22,1.14,1.03,1.2,1.03,0.97,0.94,1.03,13.94,11.84,10.86,9.88
1470,삼부토건,건설,1.67,1.4,1.18,0.87,0.76,1.9,3.82,2.68,2.29,3.11,2.06,1.63,1.57,,39.69,33.35,24.62,21.51,,,,,,,,
1500,현대차증권,증권,0.37,0.32,0.3,0.29,0.27,0.25,0.24,0.24,0.25,0.24,0.24,0.23,0.21,3.67,2.57,2.44,2.35,2.22,3.01,2.85,2.87,3.04,4.89,4.94,4.69,4.4
1510,SK증권,증권,0.74,0.57,0.51,0.46,0.51,0.46,0.42,0.41,0.42,0.38,0.35,0.33,0.31,35.89,8.9,7.96,7.27,8.04,30.37,27.91,26.9,27.38,97.54,89.92,82.78,79.24
1520,동양,비금속,0.44,0.35,0.28,0.26,0.27,0.26,0.25,0.25,0.24,0.22,0.2,0.19,0.16,,17.38,13.85,12.64,13.35,,,,,9.57,8.67,8.14,6.93
1530,DI동일,유통,0.12,0.75,0.55,0.51,0.64,0.66,0.69,0.9,0.87,0.82,0.96,1.4,1.65,2.18,9.78,7.16,6.65,8.42,7.33,7.69,10.05,9.68,150.39,176.92,256.93,302.32
1540,안국약품,제약,0.98,0.8,0.69,0.68,0.67,0.6,0.58,0.58,0.64,0.57,0.56,0.52,0.49,,29.49,25.36,25.08,24.96,13.58,13.17,13.07,14.39,66.92,65.58,60.77,57.58
1550,조비,화학,2.13,2.22,1.85,1.48,1.62,1.36,1.2,1.09,1.14,1.26,1.19,1.05,1.08,36.27,63.9,53.25,42.39,46.47,9.71,8.51,7.77,8.11,,,,
1560,제일연마,비금속,1.1,0.8,0.7,0.67,0.73,0.79,0.63,0.65,0.66,0.61,0.61,0.62,0.66,21.64,12.29,10.77,10.36,11.31,34.22,27.29,27.99,28.42,5.55,5.5,5.66,6.0
1570,금양,화학,2.66,1.86,4.32,10.31,15.25,28.32,56.24,49.1,45.99,27.54,18.48,10.48,4.99,,15.98,37.07,88.44,130.82,,,,,,,,
1620,케이비아이동국실업,운송장비·부품,0.3,0.37,0.32,0.32,0.32,0.43,0.34,0.33,0.32,0.35,0.35,0.31,0.28,,,,,,16.32,13.19,12.6,12.46,8.6,8.48,7.53,6.92
1630,종근당홀딩스,제약,0.66,0.6,0.53,0.49,0.49,0.46,0.47,0.51,0.56,0.5,0.47,0.45,0.38,4.51,20.48,18.07,16.69,16.67,229.43,234.17,253.13,276.26,6.04,5.65,5.48,4.64
1680,대상,음식료·담배,0.75,0.68,0.65,0.63,0.6,0.53,0.49,0.56,0.53,0.64,0.63,0.55,0.59,6.49,5.75,5.57,5.36,5.08,8.24,7.66,8.74,8.39,12.6,12.34,10.79,11.66
1720,신영증권,증권,0.76,0.71,0.31,0.32,0.33,0.31,0.3,0.31,0.34,0.36,0.37,0.38,0.39,2.76,2.56,5.17,5.23,5.44,5.14,4.69,4.86,5.39,5.77,4.27,4.43,4.47
1740,SK네트웍스,유통,0.56,0.46,0.43,0.4,0.41,0.47,0.6,0.56,0.61,0.48,0.45,0.44,0.4,30.18,10.28,9.5,8.96,9.06,12.16,15.7,14.55,16.02,,,,
1750,한양증권,증권,0.55,0.39,0.31,0.28,0.27,0.26,0.26,0.27,0.29,0.29,0.4,0.33,0.32,4.09,2.07,1.66,1.45,1.44,4.85,4.86,5.1,5.35,3.97,5.45,4.53,4.38
1770,SHD,금속,1.04,0.98,0.93,1.1,1.06,0.7,0.57,0.5,0.49,0.42,0.39,0.38,0.35,73.84,6.89,6.53,7.71,7.41,3.33,2.72,2.39,2.33,195.22,181.53,175.1,161.34
1780,알루코,금속,1.64,1.37,1.16,1.05,1.15,1.34,1.51,1.13,1.27,1.11,0.89,0.77,0.75,,80.89,68.35,62.17,67.72,22.84,25.64,19.29,21.7,15.91,12.82,11.02,10.69
1790,대한제당,음식료·담배,0.56,0.76,0.58,0.5,0.51,0.61,0.57,0.57,0.59,0.55,0.52,0.49,0.47,10.68,18.27,13.95,11.96,12.37,12.3,11.52,11.52,11.89,8.9,8.44,8.03,7.63
1800,오리온홀딩스,기타금융,0.46,0.41,0.43,0.43,0.45,0.44,0.41,0.43,0.4,0.4,0.42,0.44,0.42,11.18,10.08,10.38,10.47,10.92,9.35,8.63,9.05,8.39,10.35,10.75,11.26,10.77
1810,무림SP,종이·목재,0.34,0.36,0.29,0.29,0.28,0.25,0.22,0.2,0.2,0.2,0.19,0.18,0.17,40.26,17.94,14.64,14.4,13.92,,,,,,,,
1820,삼화콘덴서,전기·전자,3.56,2.57,2.05,1.68,2.18,2.04,1.85,1.67,1.59,1.88,1.68,1.27,1.22,26.19,18.23,14.56,11.93,15.47,15.65,14.21,12.85,12.21,22.02,19.66,14.81,14.24
1840,이화공영,건설,2.79,3.04,2.5,1.91,1.67,1.65,1.7,1.4,1.3,1.11,1.19,1.16,0.99,400.7,,,,,134.96,139.31,114.43,106.13,,,,
1940,KISCO홀딩스,금속,0.35,0.25,0.2,0.21,0.28,0.26,0.24,0.29,0.34,0.26,0.23,0.25,0.23,6.98,2.08,1.71,1.77,2.34,3.44,3.15,3.78,4.51,3.25,2.9,3.14,2.9
2020,코오롱,기타금융,0.58,0.42,0.39,0.38,0.34,0.29,0.26,0.24,0.24,0.21,0.2,0.18,0.23,2.78,2.66,2.45,2.41,2.13,2.03,1.82,1.69,1.71,26.24,24.75,22.81,28.47
2030,아세아,일반서비스,0.39,0.29,0.25,0.25,0.28,0.26,0.3,0.31,0.36,0.4,0.4,0.39,0.41,6.44,2.51,2.13,2.15,2.46,3.11,3.53,3.66,4.34,4.54,4.61,4.49,4.63
2070,비비안,섬유·의류,0.8,0.7,0.49,0.39,0.39,0.43,0.44,0.4,0.36,0.33,0.29,0.29,0.29,,,,,,,,,,,,,
2100,경농,화학,1.4,1.11,0.92,0.82,0.88,0.8,0.78,0.8,0.78,0.74,0.71,0.67,0.67,17.67,14.87,12.22,10.89,11.82,6.91,6.75,6.95,6.72,9.51,9.05,8.62,8.61
2140,고려산업,음식료·담배,0.8,1.48,1.33,1.04,0.86,0.97,0.87,0.75,0.74,0.73,0.62,0.66,0.65,11.86,34.94,31.52,24.6,20.42,147.87,133.32,114.66,113.82,23.29,19.83,20.89,20.58
2150,도화엔지니어링,일반서비스,1.01,1.18,1.13,1.15,1.06,1.07,1.05,1.0,0.97,0.93,0.88,0.83,0.81,14.33,20.8,20.0,20.38,18.79,182.54,179.2,170.71,164.96,12.28,11.61,10.86,10.69
2170,삼양통상,섬유·의류,0.46,0.4,0.37,0.36,0.36,0.34,0.34,0.32,0.34,0.32,0.3,0.32,0.31,3.26,4.86,4.52,4.4,4.39,9.48,9.34,8.89,9.45,6.42,6.08,6.36,6.22
2200,한국수출포장,종이·목재,0.04,0.04,0.03,0.04,0.05,0.44,0.4,0.41,0.41,0.34,0.32,0.35,0.36,1.15,0.6,0.58,0.67,0.79,6.11,5.56,5.63,5.67,5.32,4.99,5.42,5.53
2210,동성제약,제약,1.94,2.02,1.9,1.67,1.61,1.59,1.57,1.62,1.46,1.48,1.34,1.31,1.17,,,,,,,,,,,,,
2220,한일철강,금속,0.57,0.65,0.55,0.43,0.43,0.46,0.44,0.36,0.36,0.35,0.3,0.28,0.27,,4.41,3.74,2.96,2.92,,,,,,,,
2230,피에스텍,의료·정밀기기,0.7,0.55,0.49,0.44,0.49,0.58,0.54,0.51,0.47,0.49,0.51,0.48,0.5,193.41,12.19,11.01,9.87,11.04,,,,,16.59,16.99,16.28,16.76
2240,고려제강,금속,0.31,0.31,0.26,0.29,0.32,0.28,0.31,0.28,0.32,0.31,0.28,0.28,0.29,49.78,3.65,3.04,3.38,3.75,5.5,6.03,5.54,6.4,7.23,6.47,6.63,6.8
2290,삼일기업공사,건설,1.01,0.95,0.8,0.84,0.72,0.71,0.69,0.79,0.75,0.68,0.58,0.6,0.72,24.97,19.86,16.7,17.55,15.03,18.04,17.55,20.06,18.87,11.56,9.83,10.26,12.26
2310,아세아제지,종이·목재,0.14,0.1,0.09,0.09,0.09,0.08,0.08,0.09,0.1,0.42,0.4,0.39,0.36,1.59,0.81,0.71,0.74,0.74,0.66,0.72,0.75,0.85,4.6,4.36,4.26,3.94
2320,한진,운송·창고,0.41,0.36,0.31,0.24,0.25,0.21,0.21,0.22,0.24,0.21,0.2,0.19,0.2,51.51,2.83,2.41,1.9,1.96,6.13,6.24,6.54,7.17,11.34,10.61,10.48,10.77
2350,넥센타이어,화학,0.44,0.41,0.43,0.46,0.46,0.54,0.53,0.52,0.54,0.51,0.46,0.4,0.34,,140.0,147.79,158.95,158.94,,,,,8.43,7.55,6.61,5.53
2360,SH에너지화학,화학,1.29,1.38,1.29,1.1,1.01,0.93,0.79,0.82,0.77,0.77,0.67,0.64,0.61,,192.15,180.04,153.72,140.66,46.62,39.67,41.37,38.98,,,,
2380,KCC,화학,0.64,0.5,0.43,0.36,0.35,0.31,0.31,0.33,0.36,0.39,0.43,0.35,0.37,4.78,,,,,47.12,47.36,50.33,55.64,9.58,10.59,8.63,9.11
2390,한독,제약,0.77,0.73,0.63,0.57,0.59,0.55,0.49,0.46,0.51,0.58,0.62,0.54,0.48,10.88,85.66,73.24,67.02,68.54,19.48,17.26,16.26,18.01,,,,
2410,범양건영,건설,1.6,1.49,1.29,1.08,0.99,0.99,0.86,0.7,0.59,0.57,0.52,0.83,1.15,11.84,26.59,22.92,19.18,17.62,,,,,,,,
2420,세기상사,유통,2.04,2.26,1.98,1.79,1.81,1.64,1.4,1.35,1.23,1.56,1.22,1.17,1.05,,,,,,,,,,,,,
2450,삼익악기,기타제조,0.71,0.53,0.47,0.41,0.42,0.38,0.35,0.34,0.35,0.38,0.33,0.34,0.37,14.66,5.57,4.9,4.26,4.35,6.6,6.12,5.84,6.12,29.7,25.68,26.52,28.48
2460,HS화성,건설,0.6,0.65,0.46,0.34,0.3,0.26,0.26,0.27,0.27,0.24,0.22,0.23,0.23,6.88,9.1,6.44,4.69,4.25,4.49,4.6,4.68,4.73,4.24,3.93,4.01,4.15
2600,조흥,음식료·담배,0.85,0.78,0.74,0.79,0.87,0.8,0.74,0.68,0.66,0.7,0.69,0.69,0.66,15.03,7.05,6.72,7.14,7.86,11.08,10.28,9.36,9.17,294.7,292.42,291.32,279.74
2620,제일파마홀딩스,일반서비스,0.55,0.49,0.46,0.39,0.49,0.57,0.52,0.49,0.5,0.5,0.44,0.4,0.37,18.73,,,,,,,,,,,,
2630,오리엔트바이오,제약,2.59,2.06,1.08,0.9,0.93,0.96,1.08,1.01,0.98,0.88,0.69,0.91,2.18,,,2.64,2.2,2.28,2.34,,,,,4.56,5.99,14.36
2680,한탑,음식료·담배,0.54,1.41,1.06,0.77,0.65,0.93,0.9,0.71,0.68,0.55,0.46,0.42,0.44,,,,,,,,,,,,,
2690,동일제강,금속,0.38,0.5,0.4,0.3,0.29,0.29,0.24,0.23,0.24,0.23,0.2,0.18,0.16,168.53,7.16,5.68,4.29,4.2,13.86,11.51,10.82,11.27,,,,
2700,신일전자,유통,2.03,1.96,1.69,1.56,1.75,1.74,1.52,1.59,1.59,1.53,1.33,1.24,1.24,18.67,20.2,17.41,16.11,18.03,135.46,117.97,123.87,123.35,119.51,103.45,97.01,96.63
2710,TCC스틸,금속,2.08,1.85,1.87,1.47,2.12,4.5,6.53,6.9,7.37,6.03,4.3,4.25,3.14,,9.72,9.8,7.71,11.12,29.52,42.81,45.29,48.32,,,,
2720,국제약품,제약,1.43,1.5,1.41,1.24,1.37,1.2,1.1,1.44,1.38,1.23,1.4,1.28,1.19,43.42,,,,,25.05,22.86,29.92,28.83,,,,
2760,보락,화학,2.64,2.57,2.21,2.01,2.31,2.1,1.86,1.57,1.56,1.43,1.36,1.45,1.33,276.83,69.88,60.1,54.5,62.63,33.3,29.54,24.94,24.7,83.33,79.01,84.56,77.55
2780,진흥기업,건설,2.66,1.88,1.39,1.14,1.14,0.84,0.79,0.77,0.68,0.51,0.48,0.44,0.44,15.4,5.97,4.41,3.62,3.61,3.77,3.55,3.45,3.07,3.01,2.81,2.57,2.6
2790,아모레퍼시픽홀딩스,화학,1.3,1.2,0.95,0.8,1.06,0.88,0.8,0.76,0.73,0.89,0.75,0.62,0.6,595.02,22.29,17.67,14.87,19.71,50.06,45.66,43.23,41.41,25.42,21.49,17.61,17.09
